"Date","New.passenger.car.registrations.in.Euro.area"
"1990Jan",1046482
"1990Feb",892495
"1990Mar",1076752
"1990Apr",1012700
"1990May",976232
"1990Jun",922346
"1990Jul",992004
"1990Aug",722917
"1990Sep",759808
"1990Oct",944577
"1990Nov",897919
"1990Dec",693974
"1991Jan",1039151
"1991Feb",928408
"1991Mar",1198991
"1991Apr",1072020
"1991May",1083207
"1991Jun",1051053
"1991Jul",1224100
"1991Aug",611055
"1991Sep",716828
"1991Oct",893499
"1991Nov",825190
"1991Dec",689118
"1992Jan",1097377
"1992Feb",946259
"1992Mar",1121636
"1992Apr",1139902
"1992May",1051929
"1992Jun",985776
"1992Jul",1057448
"1992Aug",650298
"1992Sep",761500
"1992Oct",912790
"1992Nov",827199
"1992Dec",839525
"1993Jan",844287
"1993Feb",758143
"1993Mar",927396
"1993Apr",885832
"1993May",786171
"1993Jun",754770
"1993Jul",851704
"1993Aug",552875
"1993Sep",651176
"1993Oct",746834
"1993Nov",666886
"1993Dec",580100
"1994Jan",827025
"1994Feb",742894
"1994Mar",982055
"1994Apr",866947
"1994May",870744
"1994Jun",828082
"1994Jul",895888
"1994Aug",574363
"1994Sep",682530
"1994Oct",780985
"1994Nov",749596
"1994Dec",670747
"1995Jan",840723
"1995Feb",755445
"1995Mar",954365
"1995Apr",891228
"1995May",861551
"1995Jun",947239
"1995Jul",871113
"1995Aug",577118
"1995Sep",693200
"1995Oct",747915
"1995Nov",747912
"1995Dec",653047
"1996Jan",893808
"1996Feb",823439
"1996Mar",1073732
"1996Apr",932912
"1996May",936251
"1996Jun",873977
"1996Jul",929257
"1996Aug",646222
"1996Sep",801969
"1996Oct",830340
"1996Nov",729895
"1996Dec",670386
"1997Jan",864969
"1997Feb",833204
"1997Mar",1089091
"1997Apr",963858
"1997May",929709
"1997Jun",915785
"1997Jul",1044775
"1997Aug",686064
"1997Sep",793979
"1997Oct",917418
"1997Nov",807184
"1997Dec",740732
"1998Jan",997629
"1998Feb",920713
"1998Mar",1154961
"1998Apr",997297
"1998May",996882
"1998Jun",957985
"1998Jul",1122357
"1998Aug",722005
"1998Sep",863443
"1998Oct",957596
"1998Nov",891900
"1998Dec",780420
"1999Jan",1080238
"1999Feb",964434
"1999Mar",1243228
"1999Apr",1113891
"1999May",1063294
"1999Jun",1043911
"1999Jul",1253269
"1999Aug",774838
"1999Sep",881947
"1999Oct",988516
"1999Nov",895255
"1999Dec",762380
"2000Jan",1090653
"2000Feb",1022554
"2000Mar",1234850
"2000Apr",1104491
"2000May",1100827
"2000Jun",1052687
"2000Jul",1082325
"2000Aug",755779
"2000Sep",867488
"2000Oct",914627
"2000Nov",859090
"2000Dec",746920
"2001Jan",1027408
"2001Feb",959376
"2001Mar",1195984
"2001Apr",1086145
"2001May",1097684
"2001Jun",1126843
"2001Jul",1068539
"2001Aug",742811
"2001Sep",849698
"2001Oct",942531
"2001Nov",874628
"2001Dec",757604
"2002Jan",997293
"2002Feb",920210
"2002Mar",1137629
"2002Apr",1003466
"2002May",1012355
"2002Jun",1042324
"2002Jul",994935
"2002Aug",695890
"2002Sep",835150
"2002Oct",914420
"2002Nov",855912
"2002Dec",813466
"2003Jan",946559
"2003Feb",886881
"2003Mar",1146794
"2003Apr",968248
"2003May",972596
"2003Jun",1071315
"2003Jul",1020849
"2003Aug",682851
"2003Sep",857173
"2003Oct",914044
"2003Nov",853488
"2003Dec",763481
"2004Jan",952473
"2004Feb",906787
"2004Mar",1129301
"2004Apr",1014848
"2004May",1010004
"2004Jun",1075872
"2004Jul",1004290
"2004Aug",638670
"2004Sep",852943
"2004Oct",945534
"2004Nov",902842
"2004Dec",789554
"2005Jan",969782
"2005Feb",887640
"2005Mar",1157266
"2005Apr",1027087
"2005May",970873
"2005Jun",1145215
"2005Jul",1038995
"2005Aug",690850
"2005Sep",893171
"2005Oct",947429
"2005Nov",887633
"2005Dec",772944
"2006Jan",1004288
"2006Feb",924444
"2006Mar",1183858
"2006Apr",1063202
"2006May",1076944
"2006Jun",1134807
"2006Jul",1005965
"2006Aug",696387
"2006Sep",910137
"2006Oct",964796
"2006Nov",945239
"2006Dec",871652
"2007Jan",976560
"2007Feb",895362
"2007Mar",1202654
"2007Apr",1004433
"2007May",1070483
"2007Jun",1150615
"2007Jul",1020918
"2007Aug",703794
"2007Sep",908526
"2007Oct",967729
"2007Nov",912254
"2007Dec",879568
"2008Jan",968533
"2008Feb",940926
"2008Mar",1141803
"2008Apr",1017569
"2008May",1009135
"2008Jun",1050753
"2008Jul",937069
"2008Aug",637273
"2008Sep",813413
"2008Oct",832333
"2008Nov",735565
"2008Dec",682833
"2009Jan",763875
"2009Feb",818852
"2009Mar",1065122
"2009Apr",985375
"2009May",1063989
"2009Jun",1169160
"2009Jul",1001957
"2009Aug",687429
"2009Sep",893753
"2009Oct",975889
"2009Nov",902770
"2009Dec",776166
"2010Jan",893720
"2010Feb",843450
"2010Mar",1098212
"2010Apr",884227
"2010May",903185
"2010Jun",1013489
"2010Jul",819150
"2010Aug",557187
"2010Sep",783639
"2010Oct",825639
"2010Nov",813141
"2010Dec",724947
"2011Jan",857504
"2011Feb",845860
"2011Mar",1055954
"2011Apr",882925
"2011May",898024
"2011Jun",974851
"2011Jul",837768
"2011Aug",593533
"2011Sep",794571
"2011Oct",821226
"2011Nov",787456
"2011Dec",716060
"2012Jan",746695
"2012Feb",722234
"2012Mar",971702
"2012Apr",815795
"2012May",838682
"2012Jun",915842
"2012Jul",709907
"2012Aug",536008
"2012Sep",698118
"2012Oct",697964
"2012Nov",668920
"2012Dec",631332
"2013Jan",640714
"2013Feb",659410
"2013Mar",867651
"2013Apr",761339
"2013May",772371
"2013Jun",852643
"2013Jul",707151
"2013Aug",512916
"2013Sep",681476
"2013Oct",727535
"2013Nov",701427
"2013Dec",674761
"2014Jan",675609
"2014Feb",698653
"2014Mar",902692
"2014Apr",800285
"2014May",797634
"2014Jun",881017
"2014Jul",747192
"2014Aug",533799
"2014Sep",698645
"2014Oct",759455
